220,27,1,-0.60228734613496415
74,43,1,3.1415926535897931
180,95,1,2.3561944901923448
89,97,1,-0.099668652491162024
119,99,0,2.895379831376454
151,123,1,2.6546934217785241
220,127,0,2.4067068740640338
192,129,1,-0.78539816339744828
109,153,0,3.0324107592260536
221,163,0,2.3768013715215046
74,164,1,0
160,170,0,-0.76599044035671637
85,173,0,-2.9561470091834621
187,183,1,2.3217253891928369
220,189,1,-0.78539816339744828
103,195,0,-3.1204188790795055
145,208,1,-0.78539816339744828
166,217,0,2.2600296166651561
79,218,1,-2.2142974355881808
130,219,1,2.6546934217785241
214,223,0,-0.88310682492918791
216,248,0,2.2677433877579127
85,251,0,0.86939429922038614
184,251,1,-0.93804749179271352
116,257,0,-0.82247292322675858
37,263,1,-1.6233793884058383
125,275,0,2.3920445319584918
106,277,1,-1.4056476493802699
109,277,1,-0.64350110879328437
114,287,1,-1.0390722595360911
184,316,1,2.2035451617970798
171,337,0,2.4180531099579379
144,338,1,2.3561944901923448
222,338,1,2.6546934217785241
210,350,1,2.6546934217785241
